ID,Site,Phorid,Crithidia,Apicystis,CBPV,DWV_KV_VDV,ABPV_KBV_IAPV,BQCV,SBPV,SBV,B-actin
B128,Aptos,0,1,1,1,0,0,0,1,0,1
B36,Aptos,0,0,0,1,0,1,0,1,1,1
B42,Aptos,0,1,0,1,0,0,0,0,0,1
B43,Aptos,0,1,0,1,0,1,0,1,1,1
B40,Beach Flats,0,0,0,1,0,0,0,0,1,1
B136,Berryessa,1,1,1,1,0,0,0,1,1,1
B137,Berryessa,0,1,1,1,0,0,0,0,0,1
B30,Berryessa,0,0,1,0,0,0,0,0,0,1
B31,Berryessa,0,0,0,1,0,0,0,0,0,1
B64,Berryessa,0,0,1,1,0,0,0,1,1,1
B65,Berryessa,0,1,0,1,0,0,0,0,1,1
B66,Berryessa,1,1,1,0,0,0,0,1,1,1
B67,Berryessa,0,1,0,1,0,1,0,1,1,1
B103,Chadwick,0,0,1,1,0,0,0,1,1,1
B104,Chadwick,1,1,1,1,0,1,0,1,1,1
B149,Chadwick,0,0,1,1,0,1,0,1,1,1
B156,Chadwick,0,1,1,0,0,0,0,0,0,1
B158,Chadwick,1,0,0,0,0,1,0,1,1,1
B159,Chadwick,0,0,1,1,0,1,0,0,1,1
B163,Chadwick,0,0,0,1,0,1,0,1,1,1
B171,Chadwick,1,1,1,1,0,0,0,1,1,1
B199,Chadwick,1,0,1,1,0,0,0,1,0,1
B229,Chadwick,1,0,0,1,0,1,0,0,1,1
B240,Chadwick,1,1,1,1,0,0,0,1,1,1
B265,Chadwick,0,0,1,1,0,0,0,0,0,1
B267,Chadwick,0,1,1,0,0,0,0,0,0,1
B268,Chadwick,1,1,1,1,0,0,0,1,1,1
B269,Chadwick,0,0,0,1,0,0,0,0,1,1
B37,Chadwick,1,0,1,1,0,0,0,0,0,1
B41,Chadwick,0,1,1,1,0,1,0,0,1,1
B49,Chadwick,0,0,1,0,0,0,0,0,1,1
B50,Chadwick,0,0,1,0,0,0,0,0,1,1
B51,Chadwick,1,1,1,1,0,0,0,0,1,1
B52,Chadwick,1,0,1,1,0,1,0,1,1,1
B53,Chadwick,1,1,1,1,0,1,0,1,1,1
B54,Chadwick,0,1,1,0,0,0,0,0,1,1
B72,Chadwick,1,0,1,1,0,0,0,0,1,1
B118,Chinatown,0,1,0,1,0,0,0,1,1,1
B142,Chinatown,1,1,1,,,,,,,
B143,Chinatown,1,0,1,1,0,0,0,0,1,1
B144,Chinatown,0,0,1,1,0,0,0,1,1,1
B165,Chinatown,0,0,1,0,0,0,0,0,1,1
B178,Chinatown,0,0,1,,,,,,,
B194,Chinatown,0,1,1,1,0,1,1,1,1,1
B204,Chinatown,0,0,1,1,0,1,0,1,1,1
B206,Chinatown,0,0,1,1,0,1,0,1,1,1
B207,Chinatown,0,1,1,1,0,1,0,1,1,1
B208,Chinatown,0,1,1,1,0,1,0,1,1,1
B210,Chinatown,0,1,1,1,1,1,0,0,1,1
B211,Chinatown,0,0,1,1,0,1,1,1,1,1
B212,Chinatown,0,1,0,0,0,0,0,0,0,1
B221,Chinatown,0,1,1,1,0,1,1,0,1,1
B230,Chinatown,0,1,0,1,0,1,1,1,1,1
B231,Chinatown,0,1,1,1,0,1,0,1,1,1
B232,Chinatown,0,0,1,1,0,1,0,1,1,1
B249,Chinatown,0,1,1,1,0,0,0,1,0,1
B270,Chinatown,0,1,1,1,0,0,0,1,0,1
B271,Chinatown,1,1,1,0,0,0,0,1,1,1
B280,Chinatown,0,0,1,1,0,0,1,1,0,1
B282,Chinatown,0,0,1,1,0,0,0,0,0,1
B283,Chinatown,0,1,1,,,,,,,
B284,Chinatown,0,0,1,,,,,,,
B286,Chinatown,0,0,1,,,,,,,
B34,Chinatown,0,0,1,1,0,0,0,0,1,1
B94,Chinatown,0,1,1,0,0,0,0,0,1,1
B95,Chinatown,0,0,1,0,0,0,0,0,0,1
B96,Chinatown,0,1,1,1,0,0,1,1,0,1
B185,Coyote,0,1,1,0,0,0,0,0,1,1
B73,Coyote,0,1,0,0,0,0,0,0,0,1
B74,Coyote,0,0,0,1,0,0,0,0,1,1
B111,Farm,1,0,1,1,0,1,0,1,1,1
B112,Farm,1,1,1,1,0,1,0,1,1,1
B113,Farm,1,1,0,1,1,1,1,1,1,1
B114,Farm,0,1,0,1,0,1,0,1,1,1
B115,Farm,0,0,1,1,0,1,0,1,1,1
B121,Farm,0,1,0,1,0,0,0,1,1,1
B167,Farm,1,0,0,0,0,0,0,1,1,1
B181,Farm,0,1,0,1,0,0,0,0,1,1
B191,Farm,1,1,0,1,0,0,0,0,1,1
B192,Farm,1,1,0,1,0,1,0,0,1,1
B214,Farm,0,0,0,1,0,1,0,1,1,1
B215,Farm,0,1,1,1,0,1,0,0,1,1
B224,Farm,0,0,1,,,,,,,
B226,Farm,0,1,0,1,0,0,0,1,1,1
B233,Farm,1,1,1,1,0,1,0,1,1,1
B236,Farm,1,1,1,0,0,0,0,0,0,1
B25,Farm,1,1,0,0,0,0,0,0,1,1
B259,Farm,0,1,0,1,0,0,0,0,1,1
B26,Farm,1,1,0,1,0,0,0,1,1,1
B260,Farm,1,0,0,,,,,,,
B261,Farm,1,0,0,,,,,,,
B262,Farm,1,0,0,1,0,0,0,0,0,1
B264,Farm,1,1,1,1,0,0,0,0,0,1
B266,Farm,1,0,0,1,0,0,0,0,1,1
B27,Farm,0,0,0,1,0,0,0,0,1,1
B28,Farm,0,0,0,1,1,1,1,1,1,1
B55,Farm,1,1,1,0,0,0,0,1,1,1
B56,Farm,1,0,0,0,0,0,0,1,1,1
B57,Farm,1,1,0,1,0,1,0,0,1,1
B58,Farm,0,0,1,1,0,1,1,1,1,1
B71,Farm,1,0,0,1,0,0,0,1,1,1
B150,Forge,0,1,0,1,0,0,0,0,1,1
B29,Forge,0,1,1,1,0,0,0,0,1,1
B135,Grange,0,1,1,1,0,0,0,0,0,1
B234,Grange,1,1,1,1,0,1,0,0,1,1
B239,Grange,0,1,1,1,0,0,0,0,1,1
B39,Grange,0,0,1,1,0,0,0,0,1,1
B59,Grange,0,0,0,0,0,0,0,0,0,1
B116,Homeless,0,1,0,1,0,0,0,1,1,1
B117,Homeless,1,1,0,1,0,1,0,0,1,1
B120,Homeless,0,0,1,0,0,0,0,0,0,1
B124,Homeless,1,1,1,1,1,1,0,1,1,1
B125,Homeless,0,1,1,1,0,1,0,1,1,1
B126,Homeless,1,1,1,1,0,1,0,1,1,1
B127,Homeless,1,1,1,1,0,1,0,1,1,1
B147,Homeless,0,0,1,1,0,1,0,1,1,1
B155,Homeless,0,1,1,1,0,0,0,0,0,1
B157,Homeless,1,1,0,1,0,0,0,0,1,1
B164,Homeless,1,0,0,0,0,0,0,0,1,1
B168,Homeless,1,1,1,0,0,0,0,1,1,1
B172,Homeless,1,0,0,1,0,0,0,1,1,1
B173,Homeless,1,0,1,1,0,0,0,0,1,1
B196,Homeless,1,1,1,1,0,1,0,1,1,1
B197,Homeless,1,1,0,1,0,1,0,0,1,1
B198,Homeless,0,0,1,,,,,,,
B203,Homeless,0,0,1,1,0,0,0,1,1,1
